model,horizon,mse,mae,rmse,seed_count,seed_std_mse
LSTM,8,14.225365215219876,2.2367025638140574,3.771012512212858,5,0.5893766048094682
LSTM,9,13.871940759581927,2.2187978316001757,3.72334142955052,5,0.7790725795734484
LSTM,10,13.763626257416195,2.2149914611403196,3.7080078338550777,5,0.994843434299547
LSTM,11,13.498789033293141,2.1866337348533755,3.6720426740504983,5,1.0087612633868732
LSTM,12,13.633236341565006,2.206330386171594,3.690428389841017,5,0.9901900483803763
LSTM,13,13.584197202720867,2.2205629774233175,3.6847345114280494,5,0.6881736869007472
LSTM,14,13.433466931497529,2.2092683971167877,3.6638125397630703,5,0.8230011902536294
LSTM,15,13.358563755221809,2.208649898235211,3.654272137352298,5,0.5690915288959928
LSTM,16,13.146506561826584,2.187178609607243,3.6253107632931894,5,0.4890327204524435
LSTM,17,13.103742412571773,2.1873648006350948,3.619711191700344,5,0.3073200499702089
LSTM,18,13.097469461676411,2.173347074944264,3.618456310349567,5,0.5221833264674062
LSTM,19,12.871360459459709,2.152658989507322,3.587092741712879,5,0.510631372539137
LSTM,20,12.997929739363906,2.1799297152164114,3.604721984752505,5,0.49844974263204794
LSTM,21,12.516022462227191,2.1130920915930735,3.537476446412883,5,0.3769266330216774
LSTM,22,12.22658225270413,2.082454521253794,3.496062821144574,5,0.5044802997677301
LSTM,23,12.222924936424032,2.089352932876923,3.4954636042097738,5,0.5289709486016747
LSTM,24,12.707185218211464,2.1221355250628546,3.563613235093649,5,0.7019829287599502
TFT,1,11.639912935540687,2.037972657211804,3.3477930244698655,5,5.60812747153036
TFT,2,13.161421945085573,2.1858230861018795,3.5745479238494,5,5.5597165356526475
TFT,3,14.741795199342913,2.309678017880091,3.7910862324766925,5,5.738117780568233
TFT,4,15.969818115310455,2.391109820469443,3.951864065321344,5,5.807243285915785
TFT,5,16.759774347634806,2.439984021048884,4.052648473142749,5,5.782925795233242
TFT,6,17.166796336921145,2.4670625721759194,4.10399751232992,5,5.731464864713963
TFT,7,17.337933192103275,2.483455054767007,4.125688853072741,5,5.677656380478201
TFT,8,17.357993340366754,2.4901345593580473,4.128540231939971,5,5.6364616206029
TFT,9,17.266451346233605,2.48907228742168,4.117463056867145,5,5.6158123792829
TFT,10,17.140644847080214,2.4850554464661974,4.101980959185881,5,5.613967701978283
TFT,11,17.00960273160043,2.4782724444360116,4.085590071658536,5,5.629443173148686
TFT,12,16.87968425392388,2.4695216538168836,4.069021324665743,5,5.661947409076977
TFT,13,16.7469296425506,2.460573489820857,4.051791142974667,5,5.709919320915857
TFT,14,16.63786000239288,2.4524280180622533,4.037470720032234,5,5.756675903592951
TFT,15,16.572582332455827,2.4479095410777942,4.028823341569385,5,5.7890810215643915
TFT,16,16.5488998801378,2.44819927410081,4.025473941876735,5,5.8170182073862335
TFT,17,16.55880708875597,2.4502073861387297,4.026375323051611,5,5.844092854583386
TFT,18,16.56143595872343,2.451139299208122,4.02648604890582,5,5.861441809358425
TFT,19,16.561103811118976,2.4516038529482573,4.026292493189718,5,5.8735803801436
TFT,20,16.58398870072029,2.4534370080501655,4.029170496673818,5,5.874572226296423
TFT,21,16.64223657989164,2.4573238108853457,4.036656753584591,5,5.862896962927452
TFT,22,16.705693122587338,2.460526527507174,4.044904218124654,5,5.842342746931603
TFT,23,16.769287046658025,2.4633299310826335,4.053282747777591,5,5.817208859580745
TFT,24,16.86076682395877,2.4692013778158257,4.065369369360485,5,5.776582804709803
